GrLivArea,SalePrice
1710,208500
1262,181500
1786,223500
1717,140000
2198,250000
1362,143000
1694,307000
2090,200000
1774,129900
1077,118000
1040,129500
2324,345000
9121,44000
1494,279500
1253,157000
8541,32000
1004,149000
1296,90000
1114,159000
1339,139000
2376,325300
1108,139400
1795,230000
1060,129900
1060,154000
1600,256300
9001,34800
1704,306000
1600,207500
5206,8500
1317,40000
1228,149350
1234,179900
1700,165500
1561,277500
2452,309000
1097,145000
1297,153000
1057,109000
1152,82000
1324,160000
1328,170000
8841,44000
9381,30250
1150,141000
1752,319900
2149,239686
1656,249700
1452,113000
9551,27000
1470,177000
1176,114500
8161,10000
1842,385000
1360,130000
1425,180500
1739,172500
1720,196500
2945,438780
7801,24900
1158,158000
1111,101000
1370,202500
1710,140000
2034,219500
2473,317000
2207,180000
1479,226000
7478,",0"
2287,225000
2223,244000
8451,29500
1718,185000
1086,144900
1605,107400
9889,1000
9521,35750
1285,127000
1768,136500
1230,110000
2142,193500
1337,153500
1563,245000
1065,126500
1474,168500
2417,260000
1560,174000
1224,164500
1526,85000
9901,23600
1040,109900
1235,98600
9641,63500
2291,133900
1786,204750
1470,185000
1588,214000
9609,4750
8358,3000
1225,128950
1610,205000
1732,178000
1535,118964
1226,198900
1818,169500
1992,250000
1047,100000
7891,15000
1517,115000
1844,190000
1855,136900
1430,180000
2696,383970
2259,217000
2320,259500
1458,176000
1092,139000
1125,155000
3222,320000
1456,163990
9881,80000
1123,100000
1080,136000
1199,153900
1586,181000
7548,4500
9581,28000
8408,7000
1348,155000
1053,150000
2157,226000
2054,244000
1327,150750
1296,220000
1721,180000
1682,174000
1214,143000
1959,171000
1852,230000
1764,231500
8641,15000
1734,260000
1385,166000
1501,204000
1728,125000
1709,130000
8751,5000
2035,222500
1080,141000
1344,115000
9691,22000
1710,372402
1993,190000
1252,235000
1200,125000
1096,79000
1040,109500
1968,269500
1947,254900
2462,320000
1232,162500
2668,412500
1541,220000
8821,3200
1616,152000
1355,127500
1867,190000
2161,325624
1720,183500
1707,228000
1382,128500
1656,215000
1767,239000
1362,163000
1651,184000
2158,243000
2060,211000
1920,172500
2234,501837
9681,",0"
1525,177000
1802,200100
1340,120000
2082,200000
1252,127000
3608,475000
1217,173000
1656,135000
1224,153337
1593,286000
2727,315000
1479,184000
1431,192000
1709,130000
8641,27000
1456,148500
1726,311872
3112,235000
2229,104000
1713,274900
1121,140000
1279,171500
1310,112000
8481,49000
1284,110000
1442,180500
1696,143900
1100,141000
2062,277000
1092,145000
8649,8000
1212,186000
1852,252678
9901,56000
1392,161750
1236,134450
1436,210000
1328,107000
1954,311500
1248,167240
1498,204900
2267,200000
1552,179900
8649,7000
2392,386250
1302,112000
2520,290000
9871,6000
9121,25000
1555,192500
1194,148000
2794,403000
9879,4500
8941,28200
1960,216500
9878,9500
1414,185500
1744,194500
1694,318000
1487,113000
1566,262500
8661,10500
1440,79000
1217,120000
2110,205000
1872,241500
1928,137000
1375,140000
1668,180000
2144,277000
1306,76500
1625,235000
1640,173000
1302,158000
1314,145000
2291,230000
1728,207500
1604,220000
1792,231500
8829,7000
1382,176000
2574,276000
1212,151000
1316,130000
7647,3000
1422,175500
1511,185000
2192,179500
7781,20500
1113,148000
1939,266000
1363,241500
2270,290000
1632,139000
8161,24500
1548,205000
1560,201000
8641,41000
2121,415298
2022,192000
1982,228500
1262,185000
1314,207500
1468,244600
1575,179200
